#    L    TT             EE             BB             TE          
   193    0.57772E+00    0.23561E-02    0.12455E-02    0.14270E-01
   194    0.58825E+00    0.22961E-02    0.12327E-02    0.14115E-01
   195    0.59856E+00    0.22383E-02    0.12208E-02    0.13926E-01
   196    0.60862E+00    0.21826E-02    0.12098E-02    0.13704E-01
   197    0.61836E+00    0.21292E-02    0.11997E-02    0.13451E-01
   198    0.62773E+00    0.20780E-02    0.11905E-02    0.13170E-01
   199    0.63668E+00    0.20291E-02    0.11821E-02    0.12863E-01
   200    0.64514E+00    0.19825E-02    0.11745E-02    0.12531E-01
   201    0.65307E+00    0.19383E-02    0.11677E-02    0.12177E-01
   202    0.66047E+00    0.18964E-02    0.11616E-02    0.11803E-01
   203    0.66735E+00    0.18568E-02    0.11563E-02    0.11408E-01
   204    0.67371E+00    0.18194E-02    0.11517E-02    0.10994E-01
   205    0.67957E+00    0.17842E-02    0.11477E-02    0.10563E-01
   206    0.68493E+00    0.17512E-02    0.11445E-02    0.10114E-01
   207    0.68981E+00    0.17203E-02    0.11419E-02    0.96492E-02
   208    0.69420E+00    0.16914E-02    0.11398E-02    0.91694E-02
   209    0.69812E+00    0.16645E-02    0.11384E-02    0.86757E-02
   210    0.70157E+00    0.16396E-02    0.11376E-02    0.81688E-02
   211    0.70457E+00    0.16166E-02    0.11373E-02    0.76499E-02
   212    0.70711E+00    0.15955E-02    0.11375E-02    0.71199E-02
   213    0.70922E+00    0.15762E-02    0.11382E-02    0.65798E-02
   214    0.71090E+00    0.15587E-02    0.11393E-02    0.60307E-02
   215    0.71215E+00    0.15429E-02    0.11409E-02    0.54734E-02
   216    0.71298E+00    0.15288E-02    0.11430E-02    0.49090E-02
   217    0.71341E+00    0.15163E-02    0.11454E-02    0.43385E-02
   218    0.71344E+00    0.15054E-02    0.11482E-02    0.37628E-02
   219    0.71307E+00    0.14961E-02    0.11513E-02    0.31829E-02
   220    0.71233E+00    0.14883E-02    0.11548E-02    0.25999E-02
   221    0.71120E+00    0.14819E-02    0.11586E-02    0.20148E-02
   222    0.70972E+00    0.14770E-02    0.11626E-02    0.14284E-02
   223    0.70787E+00    0.14734E-02    0.11669E-02    0.84183E-03
   224    0.70567E+00    0.14711E-02    0.11714E-02    0.25606E-03
   225    0.70313E+00    0.14701E-02    0.11762E-02   -0.32794E-03
   226    0.70025E+00    0.14704E-02    0.11811E-02   -0.90917E-03
   227    0.69705E+00    0.14718E-02    0.11861E-02   -0.14866E-02
   228    0.69353E+00    0.14744E-02    0.11913E-02   -0.20594E-02
   229    0.68971E+00    0.14780E-02    0.11966E-02   -0.26264E-02
   230    0.68558E+00    0.14827E-02    0.12020E-02   -0.31866E-02
   231    0.68115E+00    0.14884E-02    0.12074E-02   -0.37392E-02
   232    0.67644E+00    0.14950E-02    0.12129E-02   -0.42831E-02
   233    0.67146E+00    0.15026E-02    0.12184E-02   -0.48173E-02
   234    0.66620E+00    0.15110E-02    0.12238E-02   -0.53408E-02
   235    0.66069E+00    0.15202E-02    0.12292E-02   -0.58526E-02
   236    0.65492E+00    0.15302E-02    0.12346E-02   -0.63518E-02
   237    0.64891E+00    0.15409E-02    0.12399E-02   -0.68373E-02
   238    0.64266E+00    0.15524E-02    0.12450E-02   -0.73082E-02
