#    L    TT             EE             BB             TE          
   331    0.14286E-02    0.15773E-04    0.74834E-05    0.57160E-04
   332    0.14487E-02    0.15529E-04    0.74127E-05    0.58239E-04
   333    0.14692E-02    0.15286E-04    0.73435E-05    0.59235E-04
   334    0.14901E-02    0.15043E-04    0.72760E-05    0.60150E-04
   335    0.15113E-02    0.14801E-04    0.72100E-05    0.60982E-04
   336    0.15327E-02    0.14560E-04    0.71457E-05    0.61731E-04
   337    0.15543E-02    0.14321E-04    0.70832E-05    0.62396E-04
   338    0.15759E-02    0.14083E-04    0.70225E-05    0.62976E-04
   339    0.15975E-02    0.13848E-04    0.69636E-05    0.63471E-04
   340    0.16190E-02    0.13615E-04    0.69066E-05    0.63880E-04
   341    0.16403E-02    0.13385E-04    0.68515E-05    0.64202E-04
   342    0.16613E-02    0.13158E-04    0.67984E-05    0.64438E-04
   343    0.16820E-02    0.12935E-04    0.67474E-05    0.64585E-04
   344    0.17022E-02    0.12716E-04    0.66984E-05    0.64644E-04
   345    0.17219E-02    0.12500E-04    0.66516E-05    0.64614E-04
   346    0.17409E-02    0.12290E-04    0.66070E-05    0.64494E-04
   347    0.17593E-02    0.12084E-04    0.65647E-05    0.64284E-04
   348    0.17768E-02    0.11883E-04    0.65246E-05    0.63982E-04
   349    0.17935E-02    0.11688E-04    0.64869E-05    0.63589E-04
   350    0.18093E-02    0.11499E-04    0.64517E-05    0.63104E-04
   351    0.18240E-02    0.11316E-04    0.64188E-05    0.62526E-04
   352    0.18377E-02    0.11139E-04    0.63884E-05    0.61859E-04
   353    0.18504E-02    0.10968E-04    0.63602E-05    0.61105E-04
   354    0.18621E-02    0.10803E-04    0.63343E-05    0.60269E-04
   355    0.18728E-02    0.10643E-04    0.63106E-05    0.59353E-04
   356    0.18826E-02    0.10490E-04    0.62890E-05    0.58362E-04
   357    0.18913E-02    0.10343E-04    0.62694E-05    0.57297E-04
   358    0.18992E-02    0.10201E-04    0.62518E-05    0.56164E-04
   359    0.19061E-02    0.10065E-04    0.62361E-05    0.54965E-04
   360    0.19121E-02    0.99349E-05    0.62222E-05    0.53704E-04
   361    0.19172E-02    0.98102E-05    0.62101E-05    0.52384E-04
   362    0.19215E-02    0.96909E-05    0.61997E-05    0.51009E-04
   363    0.19248E-02    0.95772E-05    0.61909E-05    0.49582E-04
   364    0.19273E-02    0.94688E-05    0.61837E-05    0.48106E-04
   365    0.19290E-02    0.93658E-05    0.61779E-05    0.46585E-04
   366    0.19298E-02    0.92681E-05    0.61736E-05    0.45022E-04
   367    0.19298E-02    0.91755E-05    0.61705E-05    0.43421E-04
   368    0.19290E-02    0.90882E-05    0.61688E-05    0.41785E-04
   369    0.19274E-02    0.90059E-05    0.61683E-05    0.40117E-04
   370    0.19251E-02    0.89287E-05    0.61689E-05    0.38422E-04
   371    0.19220E-02    0.88564E-05    0.61706E-05    0.36702E-04
   372    0.19181E-02    0.87891E-05    0.61732E-05    0.34960E-04
   373    0.19136E-02    0.87267E-05    0.61768E-05    0.33201E-04
   374    0.19083E-02    0.86690E-05    0.61813E-05    0.31427E-04
   375    0.19023E-02    0.86161E-05    0.61865E-05    0.29643E-04
   376    0.18956E-02    0.85678E-05    0.61925E-05    0.27851E-04
   377    0.18882E-02    0.85242E-05    0.61991E-05    0.26054E-04
   378    0.18802E-02    0.84851E-05    0.62062E-05    0.24257E-04
   379    0.18715E-02    0.84506E-05    0.62139E-05    0.22463E-04
   380    0.18622E-02    0.84204E-05    0.62221E-05    0.20675E-04
   381    0.18523E-02    0.83947E-05    0.62306E-05    0.18896E-04
   382    0.18417E-02    0.83733E-05    0.62393E-05    0.17131E-04
   383    0.18306E-02    0.83561E-05    0.62484E-05    0.15381E-04
   384    0.18189E-02    0.83432E-05    0.62576E-05    0.13652E-04
   385    0.18067E-02    0.83344E-05    0.62668E-05    0.11945E-04
   386    0.17939E-02    0.83296E-05    0.62761E-05    0.10266E-04
   387    0.17805E-02    0.83289E-05    0.62854E-05    0.86163E-05
   388    0.17667E-02    0.83322E-05    0.62945E-05    0.70001E-05
   389    0.17523E-02    0.83393E-05    0.63035E-05    0.54209E-05
   390    0.17374E-02    0.83503E-05    0.63122E-05    0.38820E-05
   391    0.17221E-02    0.83651E-05    0.63205E-05    0.23868E-05
